file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,70,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,10
style.css,71,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,12
style.css,72,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,29
style.css,73,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,18
style.css,74,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,75,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,76,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,9
style.css,77,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,12
style.css,78,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,11
style.css,79,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,12
style.css,80,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,21
style.css,81,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,10
style.css,82,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,83,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,84,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,11
style.css,85,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,18
style.css,86,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,87,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,88,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,17
style.css,89,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,9
style.css,90,css,d7308630,vsahjwani,2025-05-03,22:27:38,-07:00,2025-05-03T22:27:38-07:00,1,12
style.css,91,css,d7308630,vsahjwani,2025-05-03,22:27:38,-07:00,2025-05-03T22:27:38-07:00,1,36
style.css,92,css,d4307d43,vsahjwani,2025-04-12,23:32:47,-07:00,2025-04-12T23:32:47-07:00,1,8
style.css,93,css,d4307d43,vsahjwani,2025-04-12,23:32:47,-07:00,2025-04-12T23:32:47-07:00,1,16
